kinase,kinase2,cor_cancer,lrt_cancer,eFDR_cancer
ATM,MYLK,-0.543595980629094,17.1380958814768,0.000192678227360308
ATM,MYLK2,-0.315886054909273,2.60450531536105,0.180891719744925
ATM,MYLK3,-0.392517552491238,5.83273137892115,0.0337719298244847
ATM,MYLK4,-0.227124516080311,4.43812949042604,0.0707031249998569
ATM,MYO3A,-0.511264750989196,16.3092916421933,0.000192678227360308
ATM,MYO3B,-0.552432248518575,21.1353817469609,0.000192678227360308
ATM,NEK1,0.224922263169393,1.52336958875514,0.323249299719419
ATM,NEK10,-0.45821941054693,11.8698185338035,0.00138888888888389
ATM,NEK11,0.20300442575016,0.544538670584529,0.58493827160419
ATM,NEK2,0.120618750161457,0.233510613478984,0.722869955156111
ATM,NEK3,0.0508009343097726,0.0929494344395607,0.8303030303021
ATM,NEK4,0.480210202791292,14.1763150068084,0.000854700854697071
ATM,NEK5,-0.104759303509833,1.06526180194749,0.417866666666089
ATM,NEK6,0.483105222594498,12.3275871012756,0.00143884892085795
ATM,NEK7,0.21211124244151,0.834119564044386,0.48144329896843
ATM,NEK8,0.124725436219847,1.20739818845095,0.386449864498103
ATM,NEK9,0.218000532813416,2.87205685324955,0.155852842809095
ATM,NIM1K,-0.703237224834814,31.6746786516106,0.000192678227360308
ATM,NLK,0.437364762821514,9.1639897686515,0.00747126436779385
ATM,NPR1,0.130501759822305,1.74940510689066,0.29358600583046
ATM,NPR2,-0.0745989818098856,0.0675987266884022,0.857601713061147
ATM,NRBP1,0.0199983593715786,0.0903461785687796,0.831317494599502
ATM,NRBP2,-0.28998358274967,2.52233054571866,0.189873417721208
ATM,NRK,-0.286147197245934,2.36224264856742,0.206583072099978
ATM,NTRK1,-0.439977763472466,6.76989011435398,0.018779342722959
ATM,NTRK2,-0.515133279229433,19.5163968963013,0.000192678227360308
ATM,NTRK3,-0.308386416593959,3.98750208885099,0.0861940298505797
ATM,NUAK1,-0.216790057336415,1.56757496074806,0.316338028168553
ATM,NUAK2,-0.354381837828282,4.9160753042313,0.0542857142855995
ATM,OBSCN,-0.586453909845551,17.0105777668697,0.000192678227360308
ATM,OXSR1,0.0728349504592171,0.390842576654222,0.64420803782427
ATM,PAK1,-0.374478059080064,7.69144303791995,0.0129999999999663
ATM,PAK2,-0.424974735568338,12.9956918456569,0.00153846153845541
ATM,PAK3,-0.549098445098504,14.1951812966651,0.000862068965513392
ATM,PAK4,0.0310148993312745,0.133805160916268,0.7953744493383
ATM,PAK5,-0.338517076004319,3.55043528779288,0.110714285714081
ATM,PAK6,-0.136822924399574,0.495686421321807,0.599031476996828
ATM,PAN3,0.61714746656196,11.8084307344673,0.00136986301369377
ATM,PASK,0.359827922511542,7.1727207864999,0.0158653846153451
ATM,PBK,0.405476720573424,10.0733937887626,0.00361445783131402
ATM,PDGFRA,-0.110253231180749,-0.191045405914565,1
ATM,PDGFRB,-0.0197219693785775,-0.0870051591972469,1
ATM,PDIK1L,0.119014922063514,0.23908694915167,0.718876404493545
ATM,PDK1,0.229613797953733,2.05872012404086,0.248024316109032
ATM,PDK2,0.0525170648724535,0.295080506437785,0.685193621867073
ATM,PDK3,-0.0572106227408972,0.245729030153257,0.716666666665831
ATM,PDK4,0.258972336446444,4.13584508027066,0.0822393822392178
ATM,PDPK1,-0.318541246111248,2.99136442788745,0.148986486486226
ATM,PDPK2P,-0.561951929845325,10.9871244371877,0.0019108280254714
ATM,PEAK1,0.132800268090929,0.993630895040496,0.437467018469059
ATM,PHKG1,-0.584422679682112,15.0476436162492,0.000884955752208333
ATM,PHKG2,0.0518512544374552,0.362616191959205,0.656542056073972
ATM,PI4KA,-0.0633401223061197,0.433521013211703,0.625837320573387
ATM,PIK3C2B,-0.0302853988541757,-0.0154505335041222,1
ATM,PIK3C2G,-0.14072595960689,1.6975198337409,0.299425287355876
ATM,PIK3CA,0.198220095502644,1.57637161060234,0.315819209039086
ATM,PIK3CB,-0.144163793847473,0.500008599829357,0.598300970873034
ATM,PIK3CD,-0.0355852361737521,-0.00434218597229119,0.984146341462379
ATM,PIK3CG,-0.115447187771934,0.38140962509658,0.648235294116857
ATM,PIK3R4,0.0133571516428482,0.0199102001818119,0.914049586775881
ATM,PIM1,0.366780855829398,4.44826824290294,0.07019607843123
ATM,PIM2,0.0730679456302884,0.105274216971452,0.819172113288836
ATM,PIM3,-0.297507491162266,5.2971386327763,0.0435897435896471
ATM,PINK1,-0.239490419951405,3.28107078621804,0.128373702421915
ATM,PIP4K2C,-0.355669421471523,8.68699492117537,0.0100558659217586
ATM,PIP5K1A,-0.267808554112559,5.15751024125495,0.0478813559320983
ATM,PIP5K1B,-0.676322544009995,23.74936495203,0.000192678227360308
ATM,PIP5K1C,-0.744097266745538,21.9530423333435,0.000192678227360308
ATM,PKDCC,-0.0765769700190694,-0.0391429715747336,1
ATM,PKMYT1,0.499922528391084,7.40354584768932,0.0131707317072838
ATM,PKN1,-0.241780571434277,3.81994310907555,0.096014492753443
ATM,PKN2,0.378509336275706,9.0002521417963,0.00786516853930296
ATM,PKN3,0.01318249329448,-0.0364164923977341,1
ATM,PLK1,0.712503444828306,26.6482504242249,0.000192678227360308
ATM,PLK2,0.544048453437026,16.1160088011889,0.000192678227360308
ATM,PLK3,0.581721800801014,19.1131453819019,0.000192678227360308
ATM,PLK4,0.654032892822234,19.4956028265826,0.000192678227360308
ATM,PLK5,-0.215419692233885,2.04331045588049,0.250303030302637
ATM,PNCK,-0.798123190883587,40.658932070524,0.000192678227360308
ATM,POMK,0.222720584706166,1.35184259446999,0.354670329669825
ATM,PRAG1,-0.403814145096841,6.62787278756105,0.0208333333332834
ATM,PRKAA1,-0.196357706204935,1.38629596064413,0.351239669420986
ATM,PRKAA2,-0.421124944495841,5.01020457731067,0.0516528925618729
ATM,PRKACA,-0.605687268600698,25.4054156066283,0.000192678227360308
ATM,PRKACB,-0.364839816346827,7.69945892129522,0.0130653266331318
ATM,PRKACG,-0.641785484305568,22.5692238592942,0.000192678227360308
ATM,PRKCA,-0.886023844246578,32.8332572955836,0.000192678227360308
ATM,PRKCB,-0.805472817882787,18.1137812074184,0.000192678227360308
ATM,PRKCD,-0.34822637838826,3.01589509399719,0.147278911564366
ATM,PRKCE,-0.684099379454412,23.2814973327714,0.000192678227360308
ATM,PRKCG,-0.84875661419515,29.10757493542,0.000192678227360308
ATM,PRKCH,-0.735664852156498,20.4549254983698,0.000192678227360308
ATM,PRKCI,-0.377753669156933,7.00261558295892,0.0172248803827324
ATM,PRKCQ,-0.570330764325736,11.9964710376654,0.00140845070422021
ATM,PRKCZ,-0.627199933617242,16.644150960716,0.000192678227360308
ATM,PRKD1,-0.235315609985772,2.81706507385911,0.160855263157621
ATM,PRKD2,-0.0973997677923828,0.207269261371607,0.736222222221375
ATM,PRKD3,0.197299224105329,1.12475421279271,0.406199460915875
ATM,PRKDC,0.92638006757577,39.3813629964085,0.000192678227360308
ATM,PRKG1,-0.317637392170556,4.57034602773308,0.0652173913042143
ATM,PRKG2,-0.443054494845125,7.19768004316552,0.015458937198029
ATM,PRKX,-0.150103044184761,0.913048753257385,0.459007832897552
ATM,PRKY,-0.453935824321664,11.4268768095011,0.00132450331125373
ATM,PRPF4B,0.775104357128,26.3204195904588,0.000192678227360308
ATM,PSKH1,-0.431272011147949,13.0556304755245,0.001550387596893
ATM,PSKH2,-0.280502433743403,6.3475182490987,0.0268181818181187
ATM,PTK2,-0.454042064317215,15.478951961372,0.000192678227360308
ATM,PTK2B,-0.564209299019207,22.1910889039585,0.000192678227360308
ATM,PTK6,-0.00311896996747396,0.00148082083217105,0.970286885244872
ATM,PTK7,-0.51372809524759,12.3651945759342,0.0014814814814758
ATM,PXK,-0.319379451175245,8.50425101342466,0.00989010989008174
ATM,RAF1,-0.288043272272363,2.79939129970478,0.161764705882079
ATM,RET,-0.154736046831672,1.09103461936479,0.415591397848884
ATM,RIOK1,0.677633771173273,27.2671910030686,0.000192678227360308
ATM,RIOK2,0.701170926020909,21.6028595028498,0.000192678227360308
ATM,RIOK3,0.474341578751813,15.6283342708231,0.000192678227360308
ATM,RIPK1,-0.388812513997107,3.82985055094036,0.0967032967031132
ATM,RIPK2,-0.0596226891883801,0.344899115940734,0.662877030161616
